set_id;number;number_variant;name;year;theme;theme_group;sub_theme;category;pieces;minifigs;thumbnail_url;image_url;brickset_url;us_price;de_price;launch_date;exit_date;packaging_type;availability;age_min;age_max;height;width;depth;weight;barcode_ean;barcode_upc;last_updated;info_complete_date
51230;60473;1;The City Tower;2025;City;Modern day;General;Normal;1941;;60473-1.jpg;60473-1.jpg;60473-1;;;2025-06-01T00:00:00Z;;Box;LEGO exclusive;8;;;;;;;;2025-05-17T17:36:00.667Z;2025-05-17T17:36:00.667Z
24099;71016;1;The Kwik-E-Mart;2015;The Simpsons;Licensed;;Normal;2179;6;71016-1.jpg;71016-1.jpg;71016-1;199.99;199.99;2015-05-01T00:00:00Z;2017-12-31T00:00:00Z;Box;LEGO exclusive;12;;48.0;58.2;9.1;;5702015366922;;2025-05-17T02:29:58.230Z;2015-04-15T10:07:09.360Z
51424;552501;1;Cooper with Giga-Shooter;2025;Dreamzzz;Action/Adventure;Magazine Gift;Other;16;1;;;552501-1;;;;;Paper bag;Retail - limited;;;;;;;;;2025-05-15T22:59:57.230Z;
51423;112503;1;Jay vs. Cinder;2025;Ninjago;Action/Adventure;Magazine Gift;Other;2;2;;;112503-1;;;;;Metal canister;Retail - limited;;;;;;;;;2025-05-15T22:59:10.847Z;
51422;892506;1;Arin;2025;Ninjago;Action/Adventure;Magazine Gift;Other;;;;;892506-1;;;;;Paper bag;Retail - limited;;;;;;;;;2025-05-15T22:58:33.087Z;
51420;122503;1;Owen with Quad bike;2025;Jurassic World;Licensed;Magazine Gift;Other;;;;;122503-1;;;;;Paper bag;Retail - limited;;;;;;;;;2025-05-15T22:57:43.747Z;
51402;6565144;1;Ninjago Thunderfang;2025;Ninjago;Action/Adventure;Promotional;Other;55;;THUNDERFANG-1.jpg;THUNDERFANG-1.jpg;6565144-1;;;;;None (loose parts);Promotional;6;;;;;;;;2025-05-15T18:42:55.243Z;2025-05-07T09:08:05.733Z
51419;6565152;1;Paddle;2025;Promotional;Miscellaneous;LEGO brand stores;{t.b.a.};23;;6565152-1.jpg;6565152-1.jpg;6565152-1;;;;;None (loose parts);Not sold;6;;;;;;;;2025-05-15T18:35:19.183Z;2025-05-15T18:35:19.183Z
51081;76320;1;Iron Man & War Machine vs. Hammer Drones;2025;Marvel Super Heroes;Licensed;Iron Man 2;Normal;204;;76320-1.jpg;76320-1.jpg;76320-1;22.99;19.99;2025-08-01T00:00:00Z;;Box;Retail;7;;;;;;5702017817927;673419406390;2025-05-15T14:56:45.083Z;2025-05-03T22:48:32.010Z
50689;76316;1;Fantastic Four vs. Galactus Construction Figure;2025;Marvel Super Heroes;Licensed;The Fantastic Four: First Steps;Normal;427;;76316-1.jpg;76316-1.jpg;76316-1;59.99;59.99;2025-06-01T00:00:00Z;;Box;Retail;9;;;;;;5702017817897;673419406369;2025-05-15T14:56:19.623Z;2025-05-12T17:46:53.963Z
51393;40787;1;Mario Kart - Spiny Shell;2025;Super Mario;Licensed;Promotional;Normal;234;;40787-1.jpg;40787-1.jpg;40787-1;;;;;Box;Insiders Reward;18;;;;;;;;2025-05-15T07:01:21.720Z;2025-05-11T14:03:23.590Z
51350;910053;1;The Thieves of Tortuga;2025;Bricklink;Model making;Designer Program Series 5;Extended;4002;;910053-1.jpg;910053-1.jpg;910053-1;;;;;Box;{Not specified};;;;;;;;;2025-05-14T22:58:22.203Z;2025-05-01T01:35:21.130Z
51349;910052;1;Popcorn Wagon;2025;Bricklink;Model making;Designer Program Series 5;Extended;594;;910052-1.jpg;910052-1.jpg;910052-1;;;;;Box;{Not specified};;;;;;;;;2025-05-14T22:58:18.900Z;2025-05-01T01:34:18.600Z
51348;910051;1;Mushroom Village;2025;Bricklink;Model making;Designer Program Series 5;Extended;2436;;910051-1.jpg;910051-1.jpg;910051-1;;;;;Box;{Not specified};;;;;;;;;2025-05-14T22:58:15.807Z;2025-05-01T01:33:26.500Z
51347;910050;1;Antique Shop;2025;Bricklink;Model making;Designer Program Series 5;Extended;1918;;910050-1.jpg;910050-1.jpg;910050-1;;;;;Box;{Not specified};;;;;;;;;2025-05-14T22:58:11.560Z;2025-05-01T01:32:46.930Z
51346;910049;1;Adventure in Transylvania;2025;Bricklink;Model making;Designer Program Series 5;Extended;4056;;910049-1.jpg;910049-1.jpg;910049-1;;;;;Box;{Not specified};;;;;;;;;2025-05-14T22:57:52.577Z;2025-05-01T01:32:10.210Z
50449;30699;1;Mini Ninja Combo Mech;2025;Ninjago;Action/Adventure;Dragons Rising Season 3;Normal;80;;30699-1.jpg;30699-1.jpg;30699-1;;;2025-01-01T00:00:00Z;2025-12-31T00:00:00Z;Polybag;LEGO exclusive;7;;18.0;17.0;3.0;;;;2025-05-14T19:56:58.113Z;2025-01-01T00:00:00Z
51338;40767;1;Up-Scaled Baby Astronaut;2025;Promotional;Miscellaneous;Gift with Purchase;Normal;250;;40767-1.jpg;40767-1.jpg;40767-1;;;2025-05-15T00:00:00Z;;Box;LEGO exclusive;10;;;;;;;;2025-05-14T19:55:47.717Z;2025-05-09T18:31:06.873Z
10174;850508;1;Marvel Super Heroes magnets;2012;Gear;Miscellaneous;Magnets/Super Heroes;Gear;;;;;850508-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-13T18:17:29.923Z;
51418;5009325;1;The Simpsons Living Room;2025;Promotional;Miscellaneous;Gift with Purchase;{t.b.a.};123;;5009325-1.jpg;5009325-1.jpg;5009325-1;;;2025-06-01T00:00:00Z;;Box;LEGO exclusive;10;;;;;;;;2025-05-13T17:52:48.247Z;2025-05-13T17:52:48.247Z
50988;10352;1;The Simpsons: Krusty Burger;2025;Icons;Model making;Licensed;Normal;1635;;10352-1.jpg;10352-1.jpg;10352-1;;;2025-06-01T00:00:00Z;;Box;Retail;18;;;;;;;;2025-05-13T17:21:10.487Z;2025-05-13T17:21:10.487Z
51408;5009547;1;NINJAGO Stronger Together Lunch Bag;2025;Gear;Miscellaneous;Bags;Extended;;;5009547-1.jpg;5009547-1.jpg;5009547-1;22.99;;;;{Not specified};{Not specified};;;;;;;;757894517571;2025-05-13T13:15:43.017Z;2025-05-13T13:15:43.017Z
51413;5009548;1;NINJAGO Stronger Together Wallet;2025;Gear;Miscellaneous;Bags;Extended;;;5009548-1.jpg;5009548-1.jpg;5009548-1;9.99;;;;{Not specified};{Not specified};;;;;;;;757894516758;2025-05-13T13:15:39.473Z;2025-05-13T13:15:39.473Z
51411;5009546;1;NINJAGO Stronger Together Backpack;2025;Gear;Miscellaneous;Bags;Extended;;;5009546-1.jpg;5009546-1.jpg;5009546-1;47.99;;;;{Not specified};{Not specified};;;;;;;;757894517182;2025-05-13T13:15:33.737Z;2025-05-13T13:15:33.737Z
51417;5009538;1;Space Traveller Backpack;2025;Gear;Miscellaneous;Bags;Extended;;;5009538-1.jpg;5009538-1.jpg;5009538-1;47.99;;;;{Not specified};{Not specified};;;;;;;;757894517106;2025-05-13T13:14:55.413Z;2025-05-13T13:14:55.413Z
9789;40046;1;Pilgrim;2012;Promotional;Miscellaneous;Monthly Mini Model Build;Normal;23;;40046-1.jpg;40046-1.jpg;40046-1;;;;;Polybag;LEGO exclusive;6;;;;;;;;2025-05-13T10:41:48.567Z;2012-01-01T00:00:00Z
51407;5009544;1;Hot Dog Guy Lanyard;2025;Gear;Miscellaneous;Lanyards;Extended;;;;;5009544-1;7.99;;;;{Not specified};{Not specified};;;;;;;;757894514136;2025-05-13T08:54:20.707Z;
51406;5009549;1;Adult Tech Backpack – Brick Outline;2025;Gear;Miscellaneous;Bags;Extended;;;5009549-1.jpg;5009549-1.jpg;5009549-1;69.99;;;;{Not specified};{Not specified};;;;;;;;757894517151;2025-05-13T08:53:19.240Z;2025-05-13T08:53:19.240Z
51415;5009545;1;Butterfly Girl Lanyard;2025;Gear;Miscellaneous;Lanyards;Extended;;;;;5009545-1;7.99;;;;{Not specified};{Not specified};;;;;;;;757894514112;2025-05-13T08:52:44.017Z;
51412;5009543;1;Butterfly Girl Tote;2025;Gear;Miscellaneous;Bags;Extended;;;5009543-1.jpg;5009543-1.jpg;5009543-1;5.99;;;;{Not specified};{Not specified};;;;;;;;757894515737;2025-05-13T08:52:15.283Z;2025-05-13T08:52:15.283Z
51414;5009542;1;Hot Dog Guy Tote;2025;Gear;Miscellaneous;Bags;Extended;;;5009542-1.jpg;5009542-1.jpg;5009542-1;5.99;;;;{Not specified};{Not specified};;;;;;;;757894515799;2025-05-13T08:52:09.017Z;2025-05-13T08:52:09.017Z
51416;5009541;1;Purple Bouquet Lunch Bag;2025;Gear;Miscellaneous;Bags;Extended;;;5009541-1.jpg;5009541-1.jpg;5009541-1;22.99;;;;{Not specified};{Not specified};;;;;;;;757894517519;2025-05-13T08:52:03.120Z;2025-05-13T08:52:03.120Z
51409;5009540;1;Botanicals Backpack – Purple Bouquet;2025;Gear;Miscellaneous;Bags;Extended;;;5009540-1.jpg;5009540-1.jpg;5009540-1;47.99;;;;{Not specified};{Not specified};;;;;;;;757894517137;2025-05-13T08:51:56.533Z;2025-05-13T08:51:56.533Z
51410;5009539;1;Heritage Backpack – Checkered Brick;2025;Gear;Miscellaneous;Bags;Extended;;;5009539-1.jpg;5009539-1.jpg;5009539-1;49.99;;;;{Not specified};{Not specified};;;;;;;;757894517069;2025-05-13T08:51:50.330Z;2025-05-13T08:51:50.330Z
51405;5009461;1;Note Brick;2025;Gear;Miscellaneous;Stationery;Extended;;;5009461-1.jpg;5009461-1.jpg;5009461-1;;14.99;;;{Not specified};{Not specified};;;;;;;9781797235202;;2025-05-13T08:51:33.973Z;2025-05-13T08:51:33.973Z
29220;9787;1;Volcanic Panic Expansion Set;2000;Education;Educational;FIRST LEGO League Challenge;Normal;;;;;9787-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:55:15.250Z;
51254;6141077;1;X-Wing and TIE Fighter;2015;Star Wars;Licensed;Promotional;Extended;58;;6141077-1.jpg;6141077-1.jpg;6141077-1;;;;;None (loose parts);{Not specified};;;;;;;;;2025-05-12T12:54:32.790Z;2015-01-01T00:00:00Z
50463;6317939;1;Chinese New Year Peach Flower;2020;Seasonal;Miscellaneous;;Extended;160;;;;6317939-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:54:22.323Z;
50533;11973;1;Outdoor Adventures;2023;Miscellaneous;Miscellaneous;Book Parts;Normal;32;;11973-1.jpg;11973-1.jpg;11973-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:54:11.720Z;2023-01-01T00:00:00Z
51211;ISBN9780241531631;1;LEGO Star Wars Galaxy Mission;2023;Books;Miscellaneous;Dorling Kindersley;Book;18;1;ISBN9780241531631-1.jpg;ISBN9780241531631-1.jpg;ISBN9780241531631-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:54:06.193Z;2023-01-01T00:00:00Z
50515;122407;1;Mobile Incubator with Egg;2024;Jurassic World;Licensed;Magazine Gift;Other;35;;122407-1.jpg;122407-1.jpg;122407-1;;;;;Paper bag;Retail - limited;6;;;;;;;;2025-05-12T12:54:01.737Z;2024-10-21T01:41:16.780Z
50516;242405;1;Loki;2024;Marvel Super Heroes;Licensed;Magazine Gift;Other;7;1;242405-1.jpg;242405-1.jpg;242405-1;;;;;Paper bag;Retail - limited;6;;;;;;;;2025-05-12T12:54:00.623Z;2024-10-21T01:42:15.130Z
50955;6559326;1;Gift box;2024;Promotional;Miscellaneous;LEGO brand stores;Extended;46;;;;6559326-1;;;;;None (loose parts);{Not specified};;;;;;;;;2025-05-12T12:53:33.627Z;
50482;6546260;1;Gaming Controller;2024;Promotional;Miscellaneous;LEGO brand stores;Extended;45;;6546260-1.jpg;6546260-1.jpg;6546260-1;;;;;None (loose parts);Not sold;;;;;;;;;2025-05-12T12:53:30.823Z;2024-10-07T08:55:40.900Z
34415;6997;1;Piraka Avak Nestle #2;2006;Gear;Miscellaneous;Fast food toys;Gear;;1;;;6997-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:53:13.917Z;
34414;6996;1;Piraka Reidak Nestle #1;2006;Gear;Miscellaneous;Fast food toys;Gear;;1;;;6996-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:53:12.340Z;
34413;6995;1;Piraka Thok Nestle #3;2006;Gear;Miscellaneous;Fast food toys;Gear;;1;;;6995-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:53:10.980Z;
34412;6994;1;Inika Toa Hahli Nestle #4;2006;Gear;Miscellaneous;Fast food toys;Gear;;1;;;6994-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:53:09.680Z;
34411;6993;1;Inika Toa Kongu Nestle #5;2006;Gear;Miscellaneous;Fast food toys;Gear;;1;;;6993-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:53:08.157Z;
34410;6992;1;Inika Toa Jaller Nestle #6;2006;Gear;Miscellaneous;Fast food toys;Gear;;1;;;6992-1;;;;;{Not specified};{Not specified};;;;;;;;;2025-05-12T12:53:06.667Z;
51404;6568276;1;Spring in Bloom;2025;Promotional;Miscellaneous;;Extended;122;;6568276-1.jpg;6568276-1.jpg;6568276-1;;;;;{Not specified};{Not specified};;;;;;;;673419417426;2025-05-09T22:21:40.983Z;2025-05-09T20:48:20.557Z
3051;6088;1;Robber's Retreat;1998;Castle;Historical;Ninja;Normal;273;4;6088-1.jpg;6088-1.jpg;6088-1;;;1998-05-01T00:00:00Z;1999-12-31T00:00:00Z;Box;Retail;;;28.8;28.8;7.2;;5702010960880;042884060886;2025-05-09T20:44:32.847Z;1998-05-01T00:00:00Z
51403;952505;1;Fireman with Water Scooter;2025;City;Modern day;Magazine Gift;{t.b.a.};21;;952505-1.jpg;952505-1.jpg;952505-1;;;;;Paper bag;Retail - limited;6;;;;;;;;2025-05-09T19:26:55.973Z;2025-05-09T19:26:55.973Z
51109;10357;1;{?};2025;Icons;Model making;;Normal;1241;;;;10357-1;;;2025-07-01T00:00:00Z;;Box;{Not specified};18;;;;;;;;2025-05-08T16:29:04.243Z;
51329;21357;1;Disney Pixar Luxo Jr.;2025;Ideas;Miscellaneous;Licensed;Normal;613;;21357-1.jpg;21357-1.jpg;21357-1;;;2025-06-01T00:00:00Z;;Box;Retail;18;;;;;;;;2025-05-08T14:29:27.983Z;2025-05-08T14:29:27.983Z
2062;4285;1;Basic Building Set, 5+;1999;Basic;Basic;;Normal;256;1;4285-1.jpg;4285-1.jpg;4285-1;;;;;Bucket;Retail;;;;;;;5702012004674;;2025-05-08T00:43:51.483Z;1999-01-01T00:00:00Z
5546;4249;1;Suitcase Set;2000;Basic;Basic;;Normal;256;1;4249-1.jpg;4249-1.jpg;4249-1;;;;;{Not specified};{Not specified};5;10;;;;;;;2025-05-08T00:41:57.873Z;2000-01-01T00:00:00Z
51326;6565180;1;Mother's Day Flower M&T;2025;Promotional;Miscellaneous;LEGO brand stores;Extended;23;;6565180-1.jpg;6565180-1.jpg;6565180-1;;;;;None (loose parts);Promotional;6;;;;;;;;2025-05-07T09:01:59.137Z;2025-04-23T17:51:11.487Z
51373;42642;1;Friendship Movie Night;2025;Friends;Modern day;General;Normal;154;;42642-1.jpg;42642-1.jpg;42642-1;14.99;14.99;;;Box;Retail;;;;;;;5702017814834;673419404327;2025-05-07T07:25:01.580Z;2025-05-02T06:25:47.590Z
51385;42674;1;Comic Book and Game Shop;2025;Friends;Modern day;Heartlake City;Normal;1005;;42674-1.jpg;42674-1.jpg;42674-1;;89.99;;;Box;Retail;9;;;;;;5702017836003;;2025-05-07T07:24:36.883Z;2025-05-02T06:28:48.910Z
51384;42673;1;Family Holiday Beach Resort;2025;Friends;Modern day;Summer;Normal;1140;;42673-1.jpg;42673-1.jpg;42673-1;129.99;129.99;;;Box;Retail;8;;;;;;5702017815367;673419404655;2025-05-07T07:24:11.910Z;2025-05-02T06:28:09.533Z
51383;42671;1;Plant Café & Flower Shop;2025;Friends;Modern day;Heartlake City;Normal;1138;;42671-1.jpg;42671-1.jpg;42671-1;99.99;89.99;;;Box;Retail;9;;;;;;5702017815343;673419404631;2025-05-07T07:23:51.713Z;2025-05-02T06:27:59.837Z
51382;42666;1;Cat Birthday Party;2025;Friends;Modern day;Pets;Normal;321;;42666-1.jpg;42666-1.jpg;42666-1;29.99;29.99;;;Box;Retail;;;;;;;5702017783758;673419402125;2025-05-07T07:23:34.300Z;2025-05-02T06:27:49.160Z
51381;42665;1;Puppy Playground;2025;Friends;Modern day;Pets;Normal;66;;42665-1.jpg;42665-1.jpg;42665-1;9.99;9.99;;;Box;Retail;4;;;;;;5702017815312;673419404600;2025-05-07T07:23:15.993Z;2025-05-02T06:27:39.407Z
51380;42664;1;Travel Boat Adventure;2025;Friends;Modern day;Summer;Normal;685;;42664-1.jpg;42664-1.jpg;42664-1;74.99;74.99;;;Box;Retail;8;;;;;;5702017815305;673419404594;2025-05-07T07:22:54.540Z;2025-05-02T06:27:14.853Z
51379;42661;1;Costume Party;2025;Friends;Modern day;General;Normal;261;;42661-1.jpg;42661-1.jpg;42661-1;39.99;39.99;;;Box;Retail;;;;;;;5702017815275;673419404563;2025-05-07T07:22:33.880Z;2025-05-02T06:27:05.963Z
51378;42659;1;Friendship Road-Trip Travel Car;2025;Friends;Modern day;Great Outdoors;Normal;220;;42659-1.jpg;42659-1.jpg;42659-1;19.99;19.99;;;Box;Retail;;;;;;;5702017815268;673419404556;2025-05-07T07:22:15.390Z;2025-05-02T06:26:57.557Z
51377;42658;1;Unicorn & Flamingo Pool Party;2025;Friends;Modern day;Summer;Normal;99;;42658-1.jpg;42658-1.jpg;42658-1;9.99;9.99;;;Box;Retail;5;;;;;;5702017815251;673419404549;2025-05-07T07:21:57.120Z;2025-05-02T06:26:44.420Z
51376;42654;1;Pony Ranch & Stable;2025;Friends;Modern day;Vet;Normal;727;;42654-1.jpg;42654-1.jpg;42654-1;69.99;69.99;;;Box;Retail;7;;;;;;5702017815220;673419404518;2025-05-07T07:21:31.320Z;2025-05-02T06:26:29.950Z
51375;42653;1;Music Shop & Apartment;2025;Friends;Modern day;Heartlake City;Normal;483;;42653-1.jpg;42653-1.jpg;42653-1;49.99;49.99;;;Box;Retail;7;;;;;;5702017815213;673419404501;2025-05-07T07:21:07.020Z;2025-05-02T06:26:07Z
51374;42648;1;Panda Sanctuary;2025;Friends;Modern day;Vet;Normal;243;;42648-1.jpg;42648-1.jpg;42648-1;29.99;29.99;;;Box;Retail;7;;;;;;5702017815176;673419404464;2025-05-07T07:20:47.150Z;2025-05-02T06:25:57.957Z
51372;71500;1;Nightmare Shark Submarine;2025;Dreamzzz;Action/Adventure;Season 3;Normal;1413;;71500-1.jpg;71500-1.jpg;71500-1;149.99;139.99;;;Box;Retail;9;;;;;;5702017818917;673419406826;2025-05-07T07:16:59.303Z;2025-05-02T05:34:18.953Z
51371;71499;1;Mateo's Spray Paint Truck;2025;Dreamzzz;Action/Adventure;Season 3;Normal;929;;71499-1.jpg;71499-1.jpg;71499-1;99.99;99.99;;;Box;Retail;9;;;;;;5702017818900;673419406819;2025-05-07T07:16:29.583Z;2025-05-02T05:34:09.623Z
51370;71495;1;Mateo vs. Cyber Brain Mech;2025;Dreamzzz;Action/Adventure;Season 3;Normal;368;;71495-1.jpg;71495-1.jpg;71495-1;34.99;29.99;;;Box;Retail;8;;;;;;5702017818887;673419406796;2025-05-07T07:16:02.817Z;2025-05-02T05:34:01.067Z
51369;71494;1;Zoey's Time Owl;2025;Dreamzzz;Action/Adventure;Season 3;Normal;359;;71494-1.jpg;71494-1.jpg;71494-1;29.99;29.99;;;Box;Retail;8;;;;;;5702017818870;673419406789;2025-05-07T07:15:45.310Z;2025-05-02T05:33:53.057Z
51368;71492;1;Mateo's Fire Chameleon;2025;Dreamzzz;Action/Adventure;Season 3;Normal;443;;71492-1.jpg;71492-1.jpg;71492-1;54.99;49.99;;;Box;Retail;7;;;;;;5702017818856;673419406765;2025-05-07T07:15:15.173Z;2025-05-02T05:33:45.037Z
51226;43274;1;Minnie's Pet Hotel;2025;Disney;Licensed;Mickey and Friends;Normal;161;;43274-1.jpg;43274-1.jpg;43274-1;;39.99;2025-06-01T00:00:00Z;;Box;Retail;4;;;;;;5702017814629;;2025-05-07T07:14:13.180Z;2025-05-02T05:05:47.820Z
51224;43271;1;Lucky & Penny 101 Dalmatians Puppies;2025;Disney;Licensed;One Hundred and One Dalmatians;Normal;268;;43271-1.jpg;43271-1.jpg;43271-1;;24.99;2025-06-01T00:00:00Z;;Box;Retail;;;;;;;5702017814605;;2025-05-07T07:13:45.770Z;2025-05-02T05:05:38.590Z
51139;43264;1;Toy Story Celebration Train & RC Car;2025;Disney;Licensed;Toy Story;Normal;206;;43264-1.jpg;43264-1.jpg;43264-1;;39.99;2025-07-01T00:00:00Z;;Box;Retail;4;;;;;;5702017814520;;2025-05-07T07:13:22.073Z;2025-05-02T05:05:20.337Z
51016;10459;1;Bluey's Family House with Memory Game;2025;Duplo;Pre-school;Bluey;Normal;83;;10459-1.jpg;10459-1.jpg;10459-1;69.99;69.99;2025-06-01T00:00:00Z;;Box;Retail;3;;30.0;51.0;37.0;;5702017816746;673419405874;2025-05-07T07:12:38.890Z;2025-03-01T13:47:14.913Z
51366;10461;1;Grandpa Pig's Garden and Greenhouse;2025;Duplo;Pre-school;Peppa Pig;Normal;102;;10461-1.jpg;10461-1.jpg;10461-1;;79.99;;;Box;Retail;2;;;;;;5702017850450;;2025-05-07T07:12:00.850Z;2025-05-02T04:04:20.390Z
51365;10456;1;McQueen's Visit to Doc's Garage;2025;Duplo;Pre-school;Cars;Normal;35;;10456-1.jpg;10456-1.jpg;10456-1;;29.99;;;Box;Retail;2;;;;;;5702017816715;;2025-05-07T07:11:42.820Z;2025-05-02T04:04:10.173Z
51364;10455;1;Anna and Elsa's Frozen Castle Party;2025;Duplo;Pre-school;Frozen;Normal;54;;10455-1.jpg;10455-1.jpg;10455-1;;59.99;;;Box;Retail;2;;;;;;5702017816708;;2025-05-07T07:11:26.157Z;2025-05-02T04:03:57.877Z
51363;10451;1;3in1 Dinosaurs on Wheels;2025;Duplo;Pre-school;;Normal;108;;10451-1.jpg;10451-1.jpg;10451-1;74.99;69.99;;;Box;Retail;3;;;;;;5702017816647;673419405775;2025-05-07T07:10:18.787Z;2025-05-02T04:03:47.700Z
51362;10450;1;Hopsy's Castle Game;2025;Duplo;Pre-school;;Normal;47;;10450-1.jpg;10450-1.jpg;10450-1;44.99;39.99;;;Box;Retail;3;;;;;;5702017816630;673419405768;2025-05-07T07:09:59.710Z;2025-05-02T04:03:38.300Z
